label   text_a
1   保护 海外 中国 公民 组织 和 机构 的 安全 和 正当权益 
1   词曲 就 会 从 人们 口中 流淌 而出 
1   力量 的 象征 深受 中国 人民 的 喜爱 
0   而且 一有 这种 感觉 就 会 很 炸 毛 
1   这 一幕 想必 让 无数 屏幕 前 的 你 我 
1   这种 速度 与 激情 获得 不少 个性 
0   他们 冲 的 原因 就是 : 不 理解 
1   抗震救灾 精神 大地 的 伤痕 用 爱 和 坚强 缝合 
0   我 搞不懂 又 到 了 一天 一度 的 喜闻乐见 的 早 八 环节 了 
0   令人 感慨 但是 我 是 两点 半醒 的 
0   你 买 电脑 的 时候 有没有 送 电脑包 什么 的 
0   这 只是 一次 警告 再 让 我 发现 黑原 神 
0   会 变得 不幸 
1   红旗渠 工程 于 1960 年 2 月 动工 
0   我 申请 的 官方 群 还 没 让 我 通过 
1   让 那些 好人好事 凡人 善举 被 更 多 的 人 
1   越来越 看不懂 这个 世界 了 
1   铁路 密布 高铁 飞驰 巨轮 远航 飞机 翱翔 
1   从 简陋 的 仓库 起步 将 一个 基础 差 的 老旧 社区 打 造成 
0   老师 讲 的 很 乱 我 记不得 可能 是 空 出来 的 地方 被 我 睡过去 了 
1   如 歌词 写 的 山河 无恙 烟火 寻常 
0   可以 想到 你 有 一个 重要 的 朋友 是 个 女 的 
0   只 知道 它 在 播放 不 知道 在 放 啥 
1   为了 纪念 他 其 牺牲 地 辽县 更名 为 左权县 
1   是 马克思主义 
0   看 课文 看 睡 了 桌面 已经 大致 整齐 了 
0   还 不 急 是 吧 那 我 死 到 临头 
0   再 不 睡 就 睡不着 了 就是 现在 太撑 了 
1   蹭 的 流量 网红 彻底 凉凉 
1   活动 影响 全 社会 到 1989 年 天津 出现 第一个 志愿者 组织 
0   如果 还要 更 多 感受 那 就是 加缪 好会 写 
0   而是 压缩成 一串 128 位 二进制码 
1   我 的 祖国 和 我 像海 和 浪花 一朵 
1   祈愿 所有人 都 平安 
0   赤 诚 之心 不错 未来 可 期 🤗 🤗 🤗 
0   太久 没 运动 了 今天 晚上 遛弯 两腿 溜 麻 了 
0   但是 最近 都 出去玩 了 好 花钱 随便 查查 
0   现在 在 吃饭 可能 图 比较 多 吧 
0   到 了 迟到 15min 绝 了 打 完 游戏 再说 
0   虽然 我学 鬼混 的 专业 一样 可以 卷 
0   这 玩意 就 在 疯狂 掉 零件 我 记得 我 买 的 是 
1   古风 新韵 传承 创新 年轻一代 找到 了 传统 文化 打开 的 新 方式 
0   最近 都 是 捡 李宁 安踏 买 买贵 一点 的 
1   精神 之 钙 也 是 如此 
0   太远 了 236 建议 再 来 一次 可太 离谱 了 
0   呜呜 算了 尊重 我 真的 好像 找 不到 北外 的 人 聊天 
0   今天 打一 下午 毛线 好 熟悉 的 动作 
0   Loki 单人 剧 第六集 后 Loki 死 了 
1   满满 创意 与 深深 寓意 里 寄托 着 高校 对 学生 的 殷殷 期许 
0   我 一般 只 写 不办 然后 它 就 一直 保持 一个 待办 状态 
1   你 的 家乡 在 哪里 便是 他 的 首唱 
1   刻意 制造 对立 的 营销 号 予以 坚决 打击 
1   赢得 阵阵 掌声 更 以 坚持 奔跑 的 姿态 延续 梦想 
0   我 再 一次 发现 并 验证 了 一个 关于 理工科 的 定理 
1   通过 网上 道德 示范 引领 深化 网络 诚信 建设 
1   捕捉 群众 需求 再 到 解决 群众 痛点 
0   我 明天 放假 不 对 后天 不 放假 
0   我进 我们 那个 动漫 社 的 群 之后 
1   每 一个 环节 都 精益求精 最大 限度 降低 疫情 风险 
0   你 不是 ios 吗 而且 昨天 还 能 打开 的 那个 下载页 
1   未来 党和人民 怎样才能 继续 成功 的 根本 所在 
1   他们 与 记者 认真 分享 自己 的 考试 心得 
0   𝓴 𝓵 𝓶 𝓷 𝓸 𝓹 𝓺 𝓻 𝓼 𝓽 
0   民法 刑法 一起 舍掉 吧 把 我 也 舍掉 
1   拼 是 热血 青春 应有 的 姿态 
1   不 枉 传统 文化 不负 无限 秋光 
0   先 把 收款 码 给 我 要 付款 的话 
0   后面 那个 得 我 去 才 知道 我 还 得 陪读 原版 三国 
1   从 历史 深处 走来 向 美好未来 奔 去 
1   抛弃 那 无尽 的 宝藏 流浪 
0   normal 上课 肯定 得 有 一个 英文名 的 
0   我 现在 也好 饿 准备 和 同学 去 银泰吃顿 好 的 
1   她 一生 对党 忠诚 道德 高尚 坚信 
1   举 国 同心 集中体现 了 中国 人民 万众一心 
1   实现 高质量 发展 就是 要 立足 新 发展 阶段 
0   反正 我刚 发钱 月初 发 钱 说话 就是 硬气 
1   成人礼 是 考生 迈向 人生 新 阶段 的 重要 节点 
1   中国 始终 是 世界 和平 的 建设者 
0   因为 他 手机 坏 了 没 闹钟 哥们 没 手机 玩 了 
1   心中 有 多 大 度量 就 能 撑 得 下 多 大 的 船 
1   图为 陶宋 和 老人 聊天 的 视频 截图 
1   长白山 雪 的 场景 其 成功 之处 都 在于 通过 氛围 的 营造 
1   在 合唱团 一展歌喉 今年 4 月份 
1   顶 着 身上 帽子 上 的 火苗 向 敌人 扑 去 
1   在 许多 人 眼中 记者 风光 刺激 神秘 
0   抱 着 琴 睡着 了 下巴 en 出 一条 红印 
1   对 其他 国家 特别 是 一些 发展中国家 说三道四 
1   王莘在 朝鲜 战场 和 慰问团 排练 歌唱祖国 
0   我们 现在 门禁 刷卡 就 能 自由 出入 了 
0   拖拖 拖 什么 也 不想 干 就 硬拖 
1   不设 目的地 在 城市 里 漫步 
0   病人 有 发疯 权 今天 的 第二颗 半药 
0   机器 学习 没 你 想 得 那么 简单 
1   爱国 是 科学家 精神 的 第一 要义 
1   图片 中 的 主角 36 岁 的 大学教授 桂 海潮 
1   每个 人 都 是 生活 的 主角 每个 人 都 是 时代 的 主角 
1   新生 与 高校 的 情感 连接 便 就此 展开 
1   广大 科技人员 一路 披荆斩棘 在 陌生 领域 进行 全新 探索 
0   但是 我 每天 喝 两杯 以上 的 咖啡 
1   这 十条 历史 经验 揭示 了 党永葆 先进性 和 纯洁性 
0   你 真的 好 草率 不 知道 该 说 点 什么 好 了 … 你 这样 做 肯定 是 不 对 的 
1   平时 爱好 画画 
1   的 生命财产 安全 这 不是 装修 是 犯法 
0   王师傅 指点 我 一下 
0   糖 是 我们 日常 饮食 中 必不可少 的 营养物质 之一 
0   因为 离 我 太远 根本 没查 华科 计院 1300 
1   10 日 一年一度 的 高考 落下 帷幕 
1   最近 走红 的 ok 宝宝 用 稚嫩 的 小胖 手比 了 一个 标准 的 ok 手势 
1   接 志愿军 英雄 回家 需要 之地 
1   二人 先后 将 遗体 捐献 给 了 昆明 医科大学 
0   现在 打不开 了 我 寒假 为什么 不 做 
0   我 想 说 的 是 制定 再 大 的 目标 
0   这是 一个 资本 掌控 的 国家 虽然 这句 话 有些 大逆不道 
0   也 看到 某幻换 头像 了 后半段 倒 是 确实 不 清楚 
0   那 就是 恶臭 无比 毕竟 那些 话 … … 确实 蛮 离谱 的 
0   而且 搞笑 的 事情 是 我们 班 最近 才 发现 他们 在 一起 了 
1   激发 体育 热情 助推 健身 热潮 这 就是 奥运 的 魅力 
1   截至 6 月 30 日 各级 人民法院 正式 以 个人信息 保护 纠纷案 由 立案 的 一审 案件 192 件 
0   落后 的 封闭 的 思想 和 先进 的 开放 的 思想 完全 可能 存在 在 一个 脑子里 
0   庐山 超级 星期四 哈哈哈 哈哈哈 哈哈哈 哈哈哈 
1   这个 五一 小 长假 哪些 网红 城市 能 让 流量 变成 实实在在 的 
1   自 2014 年 起 世界 互联网 大会 已 连续 7 年 成功 举办 
1   观众 的 反馈 即 是 最好 的 双向 奔赴 
0   还 挺 恐怖 的 不过 已经 开始 退烧 了 
