label   text_a
1   之后 医生 作出 诊断 并 开具 处方 
1   有 网红 在 公路 旁 扎堆 搭帐篷 搞 直播 
1   活动 的 吸引力 和 影响力 可见一斑 
1   极佳 的 身体 柔韧度 让 人 很 难 想到 她 已经 年 过 50 
1   每 一份 缅怀 里 都 寄托 着 我们 对 前人 的 哀思 
0   大不了 通宵 搞完 白天 补觉 那 不是 一 下午 的 事情 吗 
1   坚持 开拓创新 坚持 敢于斗争 坚持 统一战线 
0   但是 打拳 起码 能 虽然 也 没什么 b 用 
1   我国 是 世界 上 邻国 最 多 陆地 边界 最长 
1   靠 谱 二字 的 背后 寄托 着 无数 家庭 寻找 
0   最后 却 扯 一些 无聊 的 性 同意 
1   深圳 宝安 机场 简短 发言 后 历经 1028 天 苦难 终于 回到 祖国 的 孟晚 舟 
1   一百年 来 一代 又 一代 中国共产党 人 坚持 把 马克思主义 基本原理 同 中国 具体 实际 相结合 
0   愿意 开窗 了 
1   眼睛 一闭 一 睁 一节课 就 过去 了 
1   智能水表 一旦 12 小时 内 读数 低于 一定 的 数值 
0   它 就 不会 浪费资源 再存 一遍 了 
0   2 . 天津大学 建筑学 5 年 2748 
1   冰雕 连 杨根思 黄继光 邱少云 多少 英雄 烈士 血洒 沙场 
0   不 反感 的 那种 264 你 很 讨厌 别的 人种 吗 
0   您 就是 信号 释放 机 
1   他们 时刻 准备 着 将 梦想 深藏 于心 
0   武大 就 被 挂 在 知乎 热榜 上面 在 
0   我 升学 宴 可能 要 取消 你 几号 来 着 
0   点击 链接 直接 打开 短款 现货 s 
0   密码 my20030409 手机 端 适配 还 有点 问题 
1   暴 必须 有效 降低 受害者 维权 成本 
0   跟 耳钉 差不多 吧 应该 虽然 不是 很 懂 
1   这 青春 之火 燃烧 在 大运会 的 舞台 
0   不要 不回 我 消息 在 学 图灵机 原谅 你 一会 
1   战友 找到 他时 他 怀里 的 小女孩 只有 头部 擦伤 
1   观赏 时带 着 一颗 敬仰 之心 
0   规避 了 版权 伦理 问题 那 AI 绘画 和 ChatGPT 真的 就 很 可能 成为 广泛 使用 的 工具 了 
1   即便 同一 景观 街区 也 要 让 游客 玩 出 新意 
0   总 要 习惯 挨 剥削 吧 
0   类似 于 sci 一区 这种 ) 我 要是 能发 ccfa 我 也 不会 在 这里 上课 了 
0   计院 的 混子 还是 多 啊 感觉 就是 不 混 根本 就 不想 学 那些 课 
0   那 你 上课 听 了 吗 我书 都 是 空白 的 
0   加强 监管 这个 词 就是 套话 之前 环保 没 提上 国家计划 之前 
1   以后 我 还要 做 励志 老头儿 
1   但 仍 是 贵州 当地 一项 颇受欢迎 的 体育运动 
0   我 准备 国庆 假期 去游 一两次 泳 
1   家长 就 能 控制 
0   有下 一个 小马 赵钱孙 李 周吴郑 王 
0   又 到 自学 周期 了 不太 早 我 还 在 武大 听 恋爱 讲座 
0   之前 一直 在 写 只有 风 比如 地府 已经 现代化 改造 了 
0   我 选择 摸鱼 大创 的 东西 一点 没 看 
1   熟悉 的 旋律 中国 网 事 · 感动 2022 
1   新华社 发 安阳市 殷墟 博物馆 提供 
0   还要 我 给 她 带 吃 的 ( ) 哈哈哈 哈哈哈 哈哈哈 
0   以及 他 说 的 好多 课 我 大 一上 完 了 
0   我 的 党校 研讨 材料 是 花钱 找人 代写 的 
0   然后 他 就 在 麦里 唱 勇 ～ 敢 牛 牛 
1   我 想 唱 给 你 听 系列 微 视频 之四 
0   超前消费 可不是 啥 好 习惯 捏 安慰 自己 一下 
0   果然 中南 财大 还是 教得 好些 北外 的 专业课 排 得 稀烂 
0   对 国家 的 观点 很 犀利 怎么 现在 还 觉得 消费主义 是 女性 标签 啊 
0   感觉 见证 不如 打拳 但是 玩 梗 腾讯 都 会 大力 封禁 
1   30 年前 她 身处 逆境 
1   做细 做好 做实 彻底 排除 各种 隐患 
0   因为 我 爸妈 开 我 房间 门 从来 没有 任何 预兆 
0   但是 我 没 时间 去 了 寄 下次 能 摸进 你 学校 自习 不 
