label   text_a
1   2018 年 5 月 14 日 69 岁 的 夏伯渝 终于 成功 登顶 珠峰 
1   科学 发达 赵忠尧 已经 离开 25 年 了 
0   但是 因为 我 说话 总是 前言不搭后语 
1   当天 播放 量 超过 5000 万 是 不折不扣 的 
0   只有 机器 学习 要学 数学 
0   人工智能 学习 笔记 day1 俺 的 漂亮 笔记 
1   客观 报道 少 了 互怼 戾 气 多 了 
0   最 下面 那个 文件夹 里面 有个 mian . exe 
0   他 说 啥 我 都 听不清 你 那个 专业组 里面 都 是 日语 英语 之类 的 吗 
1   无论是 巩固 脱贫 攻坚 成果 还是 全面 推进 乡村 振兴 
1   他们 是 第一书记 是 科研人员 是 医护 
0   像 我 常年 不 在 寝室 277 这 … … 咱 也 不 懂 
1   我 想 唱 给 你 听 当 熟悉 的 旋律 响起 
0   怪不得 情场 得意 这 不是 一般 的 🍵 了 吧 
0   你 在 作践 你 自己 不 知道 啊 我 乱说 的 
1   人生 的 考场 上 其实 亮相 与 续航 
1   梦想 不会 迟到 奋斗 就 有 远方 
0   源自 武大 官网 武大 的 也 好看 没有 华科 的 通知书 东西 多 [ emoji : 312 ] 
0   我 狗屁 都 看不到 在 逛 学校 里面 的 博物馆 
1   在 行动 上 多 做 孩子 的 榜样 
0   看不完 拉 几把 倒 这么 多 我 不 懂 的 地方 啊 
1   从 他们 身上 我们 看到 了 乡村 振兴 的 希望 
1   直到 这时 老人家 才 知道 多年未见 的 儿子 早已 为国捐躯 
1   发展 航天事业 建设 航天 强国 迈出 的 坚实 步伐 
1   产业 发展 是 摆脱 贫困 的 根本 之策 
0   但是 友方 单位 不吃 攻击 你 要是 被 我 攻击 了 可能 要 反省 一下 自己 的 立场 
1   一些 项目 是 我们 现在 运动会 上 看不到 的 
0   这个 一 笔画 是 my ( ) ( 真 怀疑 有些 人闲 得 程度 啊 ) 
0   那 也 太 恐怖 … 有 这种 大杀器 
0   麦麦 新品 我 还 没吃过 在 这个 翻个 身 都 困难 的 床上 
1   你 的确 没有 亲自 把子 弹射 向 缉毒 警察 
1   这份 温暖 的 力量 印证 了 初心 传递 了 信仰 
1   这一 历史 事件 使 占 世界 人口 四分之一 的 中国 人民 堂堂正正 地 屹立 于 世界 民族之林 
1   雄赳赳 气昂昂 跨过 鸭绿江 
1   也 可以 让 人 忘却 现实 耳目一新 
1   还有 网红 根本 不 具备 专业 救灾 知识 
0   数学课 用 电脑 记笔记 但是 电脑 写 数学公式 真的 很漂亮 
0   可不 可靠 本社 恐 酝酿 了 二十分钟 了 说不出来 
0   这个 破 网站 怎么 没有 我查 到 的 也 是 这 几个 
1   这个 目标 任务 很 美 良好 的 人居 环境 是 人民 群众 对 美好生活 追求 的 重要 方面 
0   感觉 人文 没 意义 理工 又 不进 脑子 
1   我 已 出舱 感觉良好 
0   起因 也 不是 我们 啊 说 起来 企业 不 愿意 招 女性 
1   是因为 我们 的 传统 文化 本身 就 很 美 
1   鹰击长空 鱼翔 浅底 万 类 霜天 竞 自由 
1   危急 时刻 人民警察 渔民 退役军人 还有 许多 普通人 
1   同一个 人 几乎 一样 的 姿势 一张 拍摄 于 汶川 地震 灾区 
0   网上 大部分 键政 可以 说 是 梗 小鬼 了 
0   显著 例子 就是 程序员 和 教师 虽然 也 需要 体力 
0   我 当然 知道 抒怀 的 意思 估计 你 也 不太可能 就 这么 释怀 的 吧 
0   噢 赞美 关心 孩子 的 家长 啊 我 一个月 才 一千 
1   这是 一个 有趣 的 现象 背后 传递 的 信息 值得 我们 深思 
0   去 微博逛 一圈 吧 你 也 是 七号 
1   哪里 有 靠 谱 的 托管 班 
1   比心 的 画面 令人感动 刘国梁 与 乒乓球 男子单打 冠军 
1   为 实现 中华民族 伟大 复兴 提供 坚强 人才 保证 和 智力 支持 
1   录取 通知书 里 的 玄机 
1   近日 湖南大学 机械 与 运载 工程学院 机械设计 制造 及其 自动化 1808 班 全班 32 人 全部 保研 
1   在 这个 夏天 大运会 点燃 的 
0   区块 链 的 意思 就是 每台 电脑 都 是 账本 
0   那 不是 毫无 隐私 了 吗 比特 币 的 隐匿性 
1   那年 神话 照进 现实 九天揽月 千年 梦成 
1   更加 全面 地 关注 农业 关心 农村 
1   炉火纯青 除了 冬练三九 夏练三伏 还 得 有 一颗 始终不渝 的 匠心 
1   无非 就是 追 追剧 打打 游戏 翻翻 杂志 
0   shut up u idiot 你 不 打 别人 还要 打 
1   这 对 我们 是 一种 警示 
1   河南 95 后 数学老师 连 甜甜 就 将 课上 成 了 演唱会 
1   一次 机缘巧合 她 画 起 了 学生公寓 的 黑板报 
0   下课 了 出 校门 上 地铁 准备 回家 过节 
0   其他人 ( 沉默 ( 你们 为什么 选 这个 课 ) ( 没得 选 了 ) ( 坐牢 一个 小时 了 ) ( 答案 就是 原句 吧 ) ( 讨论 完 了 ) 
1   多 找点 时间 陪陪 他们 跟 父母 说 说心里话 
1   特别 能 战斗 特别 能 忍耐 特别 能 团结 
1   为什么 战旗 美如画 英雄 的 鲜血 染红 了 她 
0   你 觉得 我 在 泡 他 我 不想 泡 他 的 
1   面对 当前 网暴 事件 频发 的 情况 
1   11 年前 大客车 司机 吴斌 在 行车 途中 
0   因为 我 在 准备 我 想 表现 的 东西 太 多 
1   万村 共富 全域 和 美 浙江 实施 千万 工程 
0   [ 分享 卡片 ] 看 了 三遍 每个 点 每个 字 都 戳 心上 了 
0   我 也 想 到处 溜达 溜达 钱花 在 刀刃 上 ( 指 住宿 和 交通 ) 
0   坐下 来 打 几把 游戏 明天 就 出来 了 
0   我们 是 下午 回 学校 拿 毕业证 准备 等 下 回家 睡一觉 然后 去 
1   今天 世界 上 仍 有人 不解 究竟 是 什么 让 中国 发生 了 如此 翻天覆地 的 变化 
0   期望 提高 更 高 的 社会 地位 ↑ 论述 有没有 啥 问题 
1   4 近日 共青团中央 在 微博上 发 了 一幅 题为 
0   无 意义 的 行为 我 也 不 否认 你 给 我 就是 一种 这样 的 感受 
0   我 看看 我 买 什么 了 衣服 伞 乱七八糟 的 配件 
0   那 我 今天上午 的 核酸 不 知道 还 能 不能 行 
0   你 地址 没变 吧 没 变 哥们 下单 了 
0   就 不能 讲点 人话 吗 咱 也 在 看 课本 
0   我 为了 写 乡土文学 逼 自己 看 了 一点 莫言 
1   不少 战士 也 因此 牺牲 在 了 进藏 路上 
0   明天 还 早 八 早八 你 现在 还 不 睡 
1   你 为 我 保驾护航 我 为 你 撑伞 挡雨 
1   成长 为 一个 大写 的 人 
1   祖国 中 大家 叫 他 王莘 w á ngx ī n 
1   改革开放 以来 一大批 有 胆识 勇 创新 的 企业家 茁壮成长 
0   直到 早上 起来 发现 姨妈 来 了 哈哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 
0   小朋友 应该 都 很 可爱 的 277 
0   上课 去 了 祝玩得 开心 记得 背单词 
0   太 经典 了 准备 把 这个 刻 在 你 的 碑 上 
1   受访者 供图 明末 意大利 传教士 利玛窦 在 
1   稳中求进 迸发 活力 中国 每个 人 都 是 生活 的 主角 
0   在 和 fxy 以及 严未虎 打 王者 
0   给 我 妈 打个 电话 再说 [ emoji : 307 ] 
1   现在 却 吵闹 得 像 菜市场 
0   又 蓝 又 粉 的 笔 289289 啊 这 颜色 好 可爱 
1   抗美援朝战争 的 收官 之战 金城 战役 正式 打响 
1   今天 我们 关注 的 主角 是 那些 不能 露脸 的 英雄 
1   无数个 埋头 苦读 的 夜 是 考研 人 共同 的 记忆 
1   民族 要 复兴 乡村 必 振兴 
0   来 点 无聊 girl talk 我 在 想 
1   超过 13 万条 评论 里 有 思念 有 呼唤 
1   我们 已 走过 千山万水 但 仍 需 跋山涉水 
0   一个 学生 一个 导师 学生 48 人 
0   哇 还 可以 熬 九年 才 长斑 谢谢 你 
0   深夜 打毛线 我弟 在 旁边 睡着 了 
1   不会 使用 智能手机 导致 老人 逐渐 
0   需要 一些 教程 1 打开 mac 连接 网络 
0   有点 内疚 了 我 还是 想不到 那种 阳光 快乐 女大 和 阴暗 b 怎么 保持 高强度 聊天 
1   张桂梅 贴 满 膏药 的 双手 看 哭 了 无数 人 
1   加大 对 相关 违法犯罪 行为 的 打击 力度 
0   汉堡 🍔 第一口 我 才 发现 我 因为 这 几天 作息 不 规律 口腔溃疡 了 
0   初一 要 读的书 他们 考试 要 考书 的 内容 236 
0   哦 你 是不是 开头 致辞 什么 的 是 要 上去 装 b 
0   而 不是 简单 的 告诉 我谈 了 几句话 让 我 放手 
1   每个 人 都 是 生活 的 主角 每个 人 都 是 时代 的 主角 
1   与 回响 在 历史 深处 的 吟诵 一齐 
0   差点 就测 不了 了 运气 还 不错 糟 
0   北京 上学 的 有 谁 呀 我 一个个 去 探望 探望 
0   你 可以 远程 操作 最差 的 租 一年 50 块 
1   与此同时 随着 陆上 海上 商旅 不 绝 
1   被 北航 工科 试验班 信息 类 录取 
1   那个 为了 让 家乡 脱贫 放弃 了 出国深造 的 机会 
1   大声疾呼 亟 拯斯民于 水火 切扶 大厦 之 将 倾 
1   延安 交警 冒雨 执勤 
0   计科 不是 应该 你 凭 什么 过 正常 大学 生活 
1   卢云秀 参加 的 帆船 比赛 所在地 日本 神奈川 藤泽 市 的 训练 基地 江之岛 
1   小时候 看 的 视频 到 现在 也 不会 忘记 那个 场景 和 他 的 样子 
1   他们 不畏 生死 冲锋在前 以 生命 赴 使命 
0   简而言之 腾讯 是 懒 狗 不想 维护 win 
1   如何 为 曲子 配 上 一首 扣人心弦 的 词 
1   然而 孔子 对 世人 的 影响 远不止 于 此 
1   有人 不禁 要 问 网暴 受害者 为何 不拿起 法律 武器 捍卫 自身 权益 
0   不过 情人节 收集 表写 了 170 多 号 人 回 了 
1   共产党 并 不曾 使用 什么 魔术 他们 只不过 知道 人民 所 渴望 的 改变 
1   他们 每个 人 不仅 是 优秀 的 运动员 
0   但 圈外人 大多 会 觉得 饭圈 很 恶臭 … … 
0   可是 如果 要 名正言顺 地 在 一起 
1   就 有 希望 和 阳光 
0   让 我 自己 加 我 老 是 调 出来 一股 很腻 的 味道 
0   那 我会 好 起来 吗 我 坚信 乐观 的 小马 绝不会 因为 这个 而 变成 一个 废人 的 
0   在 发生 了 这种 事 之后 改变现状 的 责任 也 在 全体 男性 
1   文博 场所 是 成 风化 人之地 
0   痛苦 的 有 灵魂 的 作品 才 能够 永续 
1   创造 高品质 生活 的 演进 方向 
1   为 爱 发电 的 课 
0   然后 我 就 整 了 这 玩意 TuoYuan 
0   呜呜 爬 了 十一点 交 作文 刚想 起来 有 这个 作业 
0   你 教 原来 那个 小孩 一天 多长时间 啊 
