label   text_a
1   但 他们 从 没有 动摇 过 对 冠军 的 渴望 
0   但是 我 的 墙面 有 挂布 也 不能 把 插板 固定 在 墙上 
1   具体 来看 要 发展 一店 一早 也 就是 便利店 和 早餐 店 
0   社会 告诉 我们 说 你们 要 承担 更大 的 责任 
0   上次 看到 这么 多 星星 还是 在 上次 
1   都 是 跨越 山海 的 底气 
0   包括 对 别人 的 评价 也 平和 看待 
1   是 村民 们 发自内心 的 感谢 
1   高校 录取 通知书 的 意义 早已 超越 了 
0   体育考试 不裸考 
1   苏区 干部 好 作风 自带 干粮 去 办公 
1   每个 人 都 是 生活 的 主角 每个 人 都 是 时代 的 主角 
1   它 可以 帮 游客 提前 规划 路线 减少 等候 时间 
1   这 是 新 中国 成立 后 第一次 组织 这么 大规模 的 体育赛事 
1   就 在 这时 一位 女孩 走 了 过来 
0   是 女生 被 谈话 多 还是 男生 被 谈话 多 
0   令人 慨叹 我们 的 思修 有 一点 小多 
1   也 对 景区 服务 创新 提出 了 更 高 要求 
1   一辆 满载 着 白血病 治疗 药 的 爱心 车 从 福建 福州市 区 向 福清市 出发 
0   应该 不行 吧 之前 没 开 漫游 突然 刷 到 了 二月份 的 说 说 
1   近日 教育部 就 中华人民共和国 教师法 
0   确实 不好 反驳 唯物主义 我 已经 学会 在 开始 扯 到 唯物主义 的 时候 保持沉默 了 
0   拍案 卷袖 这个 能 不能 读书 
0   呃 嗯 呃 打 完 了 还好 还 亢奋 
0   现在 在 考虑 planB 和 C 哪个 比较 好 写 
1   民生 无小事 枝叶 总关情 
0   据说 是 最近 买买 银行卡 什么 的 很 猖獗 
1   也许 能 收获 更 多 
0   可以 考虑 网线 接口 HDMI USB 
1   北京 市场 监管部门 更是 一 连发 了 16 条 提醒 
0   我 现在 已经 养成 习惯 7.40 起床 然后 踩点 去 补课 了 
1   把 企业 发展 同 国家 繁荣 民族 兴盛 
1   恭喜 你 中奖 千万别 轻信 笑笑 就行 
0   是 有关 歧视 自由 方面 的 内容 面前 这方面 的 宣传 
0   我 已经 打 了 三天 针 了 虽然 一次 痛 不了 太久 
1   当地 志愿者 继续 接力 
0   帮 了 一点 小忙 地区 的 法治 建设 确实 … … 我 之前 看罗翔 和 车浩 辩论 
1   是 一个 和睦 的 中国 中华民族 共同体 意识 显著 增强 
0   相互理解 相互支持 的 男人 女人 都 是 好人 
1   随着 我国 全方位 对外开放 不断扩大 
0   即 问题 在于 在 宣传 方面 只重 权利 
0   只 看 了 几盏 灯 亏死 277277 私人 博物馆 是 这样 的 
0   以启 山林 前赴后继 薪火 相承 
1   现在 是 景区 进不去 
0   平时 分 60 ％ + 的 课 马 原 毛概 ↑ 
0   突然 想 起来 三月底 还有 差不多 400 块 尾款 
1   的 大庆 精神 闪耀 在 共和国 的 精神 星空 中 
1   还有 作出 绝不 宰客 承诺 的 出租车 司机 
1   李洁琼 没 被 邀请 却 自己 跳出 来说 
1   炒 得 越 凶 人气 越高 
1   夏伯渝走 了 43 年 
1   据 中国残疾人联合会 消息 2016 2019 年 
0   冲洗 了 一下 神奈川 冲浪 里 复刻 
1   只有 口袋 里 有 足够 多 资本 的 人才 能 享受 宪法 规定 的 民主权利 
1   第一书记 人民 不会 忘记 
0   我 最近 大彻大悟 了 决定 开始 墨鱼 鬼混 
0   现在 眼睛 剧痛 已经 睡不着 了 谢谢 
1   这 条 主线 凝聚 亿万 人心 
1   与 父辈 一起 向 未来 前进 
0   但是 它 已经 死 了 我 今天 上 了 某幻 的 舰长 
1   1984 年 张藜 和 秦咏诚 打算 写 这样 一首歌 
1   每 一步 都 走 得 很 艰难 
0   印象 中 没有 下次 我 问问 还 没有 收到 我 的 信 吗 
0   插空 睡觉 一下 你 那 视频 我 起码 看 4 遍 了 
1   托育 服务 标准 包含 费用 标准 基础设施 建设 标准 
0   当代 联名 现状 挂 一个 海报 就 可以 叫 线下 联名 了 
0   然后 就 搞不懂 了 书 的话 看 了 61 / 468 
1   不少 人 现在 想起 当年 背诵 并 默写 全文 的 艰难 
1   但是 怎么 关心 呢 
1   以及 违反 单独 同意 或者 强迫 变相 强迫 自然人 同意 处理 其 人脸 信息 的 构成 侵害 自然人 人格 权益 的 行为 等 要求 
0   的 说法 非常 轻蔑 
1   补上 这 难 与 求 之间 的 一块块 短板 
1   经济 快速 发展 社会 稳定 祥和 国家 实力 不断 提升 
1     第一 我们 党 历来 高度重视 总结 历史 经验 
1   可以 不爱 但 不 可以 伤害 
0   不过 北外 太小 了 开车 纯纯 浪费 
1   少 一些 焦虑 攀比 多一些 淡定 从容 
0   看到 nlp 不 知道 nlp 什么 意思 怎么 做 一个 ai 学生 
0   我 目前 吃 到 的 好吃 的 东西 只有 
1   主动 担负起 时代 赋予 的 使命 责任 
0   别用 手死 揉 就 行 回 寝室 了 俩 舍友 在 联机 原 
0   离开 武汉 就 吃 不到 了 能 吃 一顿 是 一顿 
1   党 的 二十大 报告 从 全面 建设 社会主义 现代化 国家 
